GeneID;Gene;Base mean;log2(FC);StdErr;Wald-Stats;P-value;P-adj;;;;;;;;;;;
ENSG00000100276;RASL10A;48,21549861;-1,480513197;0,297629473;-4,974350103;6,55E-07;2,57E-06;;;;;;;;;;;
ENSG00000229391;HLA-DRB6;28,68942362;-1,480460269;0,342296872;-4,325076833;1,52E-05;5,22E-05;;;;;;;;;;;
ENSG00000237339;LINC01502;6,338556691;-1,480164474;0,369140797;-4,009755863;6,08E-05;0,00019611;;;;;;;;;;;
ENSG00000120162;MOB3B;71,23107307;-1,48007754;0,264840234;-5,588567548;2,29E-08;1,01E-07;;;;;;;;;;;
ENSG00000177096;PHETA2;151,1027278;-1,474377407;0,201286347;-7,324776006;2,39E-13;1,47E-12;;;;;;;;;;;
ENSG00000237781;AL356356.1;203,8989765;-1,474279559;0,168655048;-8,741390077;2,30E-18;1,81E-17;;;;;;;;;;;
ENSG00000155754;C2CD6;459,4506602;-1,469172485;0,127833257;-11,49288161;1,43E-30;1,76E-29;;;;;;;;;;;
ENSG00000177465;ACOT4;450,1711823;-1,468993409;0,137735377;-10,66533117;1,48E-26;1,61E-25;;;;;;;;;;;
ENSG00000198959;TGM2;128167,2301;-1,46744002;0,038760591;-37,85907193;0;0;;;;;;;;;;;
ENSG00000124134;KCNS1;108,3932211;-1,467238194;0,215885485;-6,796372601;1,07E-11;5,96E-11;;;;;;;;;;;
ENSG00000223544;AC005838.1;29,51050333;-1,466612262;0,35102975;-4,17802839;2,94E-05;9,81E-05;;;;;;;;;;;
ENSG00000124749;COL21A1;29,59746803;-1,465128309;0,337182034;-4,34521464;1,39E-05;4,79E-05;;;;;;;;;;;
ENSG00000142235;LMTK3;783,6999285;-1,463853686;0,104044726;-14,06946557;5,85E-45;1,14E-43;;;;;;;;;;;
ENSG00000189184;PCDH18;629,770526;-1,461420261;0,107484367;-13,59658436;4,20E-42;7,44E-41;;;;;;;;;;;
ENSG00000267405;AC005180.1;29,10435664;-1,459978317;0,340825093;-4,283658528;1,84E-05;6,26E-05;;;;;;;;;;;
ENSG00000258900;HNRNPCP1;84,04366194;-1,45811882;0,296652225;-4,915246536;8,87E-07;3,44E-06;;;;;;;;;;;
